method,regime,metric,better,estimate,ci_low,ci_high,training_replicates,ci_definition,evidence
Full temporal graph,history_dependent,minADE_K (m),lower,1.1414401056268553,1.114444538376673,1.1684356728770375,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,history_dependent,minFDE_K (m),lower,1.6232532719445434,1.5976431933294946,1.6488633505595922,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,history_dependent,MR_K at 2 m,lower,0.31315789473684214,0.30160463069348514,0.3247111587801991,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,history_dependent,Brier-minFDE_K,lower,2.0613626795554265,2.0354424395307236,2.0872829195801295,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,independent,minADE_K (m),lower,1.5730813831459969,1.51869992459967,1.6274628416923238,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,independent,minFDE_K (m),lower,2.524027719318003,2.425264660349801,2.6227907782862054,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,independent,MR_K at 2 m,lower,0.31535580524344564,0.3065328278414009,0.3241787826454904,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,independent,Brier-minFDE_K,lower,3.02844833931604,2.9289057452622447,3.1279909333698357,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,spatial,minADE_K (m),lower,1.2542073705748191,1.226714969784825,1.2816997713648133,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,spatial,minFDE_K (m),lower,1.8261736075053734,1.7721742012710415,1.8801730137397052,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
