method,metric,better,estimate,ci_low,ci_high,training_replicates,ci_definition,evidence
Full temporal graph,End-to-end batch-1 CPU latency P50 (ms),lower,0.55731875,0.5486885,0.5669405000000001,10,Median across training-replicate latency summaries with 95% percentile bootstrap CI (10000 draws),"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,End-to-end batch-1 CPU latency P95 (ms),lower,0.7721313,0.6140213,0.7898394499999999,10,Median across training-replicate latency summaries with 95% percentile bootstrap CI (10000 draws),"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,End-to-end batch-1 CPU latency P50 (ms),lower,0.5701827500000001,0.5618855,0.5809960000000001,10,Median across training-replicate latency summaries with 95% percentile bootstrap CI (10000 draws),"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,End-to-end batch-1 CPU latency P95 (ms),lower,0.802110425,0.7167140999999999,0.9007828,10,Median across training-replicate latency summaries with 95% percentile bootstrap CI (10000 draws),"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,End-to-end batch-1 CPU latency P50 (ms),lower,0.5591087499999999,0.5559745,0.5629195,10,Median across training-replicate latency summaries with 95% percentile bootstrap CI (10000 draws),"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,End-to-end batch-1 CPU latency P95 (ms),lower,0.7244422,0.6868170999999998,0.751104525,10,Median across training-replicate latency summaries with 95% percentile bootstrap CI (10000 draws),"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,End-to-end batch-1 CPU latency P50 (ms),lower,0.5846845,0.5698749999999999,0.5984825,10,Median across training-replicate latency summaries with 95% percentile bootstrap CI (10000 draws),"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,End-to-end batch-1 CPU latency P95 (ms),lower,0.796205775,0.6969499499999999,1.0303905999999998,10,Median across training-replicate latency summaries with 95% percentile bootstrap CI (10000 draws),"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,End-to-end batch-1 CPU latency P50 (ms),lower,0.5385932499999999,0.532239,0.54777225,10,Median across training-replicate latency summaries with 95% percentile bootstrap CI (10000 draws),"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,End-to-end batch-1 CPU latency P95 (ms),lower,0.78024845,0.686703,0.9204925249999998,10,Median across training-replicate latency summaries with 95% percentile bootstrap CI (10000 draws),"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
