method,K,metric,better,estimate,ci_low,ci_high,training_replicates,ci_definition,evidence
Full temporal graph,6,Synthetic dominant-maneuver macro-F1,higher,0.9170132543403067,0.9141245997461886,0.9199019089344247,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,6,ADE_1 (m),lower,5.017491804514813,4.812299705769688,5.222683903259937,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,6,FDE_1 (m),lower,8.8172402695738,8.45382835507643,9.18065218407117,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,6,MR_1 at 2 m,lower,0.76925,0.7597473691036248,0.7787526308963751,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,6,minADE_6 (m),lower,1.3231364566752517,1.3059997514571653,1.3402731618933381,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,6,minFDE_6 (m),lower,1.9916114057488628,1.960116528376709,2.0231062831210163,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,6,MR_6 at 2 m,lower,0.3035,0.2999033993377344,0.3070966006622656,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,6,Brier-minFDE_6,lower,2.4733468120619464,2.441126730217616,2.505566893906277,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,6,Synthetic dominant-maneuver macro-F1,higher,0.8548591818601782,0.8519903044276921,0.8577280592926643,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,6,ADE_1 (m),lower,5.7297548153201,5.5072897131774825,5.952219917462718,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,6,FDE_1 (m),lower,10.2173387673669,9.810813170346279,10.623864364387522,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,6,MR_1 at 2 m,lower,0.7875,0.775510507756468,0.7994894922435319,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,6,minADE_6 (m),lower,1.3472248899359651,1.3138784531859766,1.3805713266859536,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,6,minFDE_6 (m),lower,2.0400909751902767,1.9686549561676092,2.111526994212944,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,6,MR_6 at 2 m,lower,0.3195,0.3139205218498834,0.3250794781501166,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,6,Brier-minFDE_6,lower,2.5526249130883043,2.480670885721251,2.6245789404553577,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,6,Synthetic dominant-maneuver macro-F1,higher,0.8591837045628598,0.8564106818966284,0.8619567272290911,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,6,ADE_1 (m),lower,5.577014386593577,5.34487288229753,5.809155890889624,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,6,FDE_1 (m),lower,9.915614400958543,9.493734584023844,10.33749421789324,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,6,MR_1 at 2 m,lower,0.7859999999999999,0.7753211032714892,0.7966788967285107,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,6,minADE_6 (m),lower,1.4041514342017656,1.368952208842474,1.4393506595610572,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,6,minFDE_6 (m),lower,2.1515636734763857,2.081819697783888,2.2213076491688835,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,6,MR_6 at 2 m,lower,0.31575000000000003,0.31095865120702004,0.32054134879298,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,6,Brier-minFDE_6,lower,2.6615523993019816,2.5926929610533636,2.7304118375505997,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,6,Synthetic dominant-maneuver macro-F1,higher,0.9170132543403067,0.9141245997461886,0.9199019089344247,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,6,ADE_1 (m),lower,13.927053171901871,11.769413496962207,16.084692846841534,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,6,FDE_1 (m),lower,26.259264850102788,23.267290587195145,29.25123911301043,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
