panel,metric,condition,estimate,ci_low,ci_high,unit,orientation,provenance
action,Macro-F1,Structured minus Baseline B,0.0129,0.0081,0.0175,raw difference,higher_is_better,exported workbook summary; original episode-balanced interval
action,NLL,Structured minus Baseline B,-0.0228,-0.0310,-0.0142,raw difference,lower_is_better,exported workbook summary; original episode-balanced interval
action,Brier,Structured minus Baseline B,-0.0195,-0.0252,-0.0137,raw difference,lower_is_better,exported workbook summary; original episode-balanced interval
action,ECE,Structured minus Baseline B,0.0007,-0.0051,0.0053,raw difference,lower_is_better,exported workbook summary; original episode-balanced interval
event,Collision,Structured minus Baseline B,1.11,-3.89,6.39,percentage points,lower_is_better,45-cell by 8-seed crossed-bootstrap summary
event,Near miss,Structured minus Baseline B,-9.44,-19.17,0.00,percentage points,lower_is_better,45-cell by 8-seed crossed-bootstrap summary
event,Critical event,Structured minus Baseline B,-8.33,-17.47,0.28,percentage points,lower_is_better,reported point estimate; interval retained from audited publication graphic
event,Route completion,Structured minus Baseline B,3.28,-1.16,7.87,percentage points,higher_is_better,45-cell by 8-seed crossed-bootstrap summary
conditional_ttc,TTC-P5,Baseline B,0.665,0.605,0.754,seconds,higher_is_better,marginal descriptive interval retained from audited publication graphic
conditional_ttc,TTC-P5,Structured fusion,1.042,0.863,1.354,seconds,higher_is_better,marginal descriptive interval retained from audited publication graphic
conditional_ttc,TTC-P5 difference,Structured minus Baseline B,0.377,,,seconds,higher_is_better,conditional descriptive difference; no inferential interval
jerk,Jerk-P95,Baseline B,32.88,30.82,34.94,m/s^3,lower_is_better,marginal interval retained from audited publication graphic
jerk,Jerk-P95,Structured fusion,23.12,21.08,25.29,m/s^3,lower_is_better,marginal interval retained from audited publication graphic
jerk,Jerk-P95 difference,Structured minus Baseline B,-9.7624,-11.7983,-7.8408,m/s^3,lower_is_better,exported paired dry-run interval
