method,input_features,hidden_layer_sizes,parameter_count,baseline_parameter_target,parameter_difference_from_baseline,epochs,batch_size,learning_rate_init,alpha,replicate_id
Baseline B,56,"[48,24]",4012,4012,0,50,128,0.002,0.0001,0
Structured-R2,145,"[128,64,32]",29156,4012,25144,80,128,0.001,0.001,0
Baseline B,56,"[48,24]",4012,4012,0,50,128,0.002,0.0001,1
Structured-R2,145,"[128,64,32]",29156,4012,25144,80,128,0.001,0.001,1
Baseline B,56,"[48,24]",4012,4012,0,50,128,0.002,0.0001,2
Structured-R2,145,"[128,64,32]",29156,4012,25144,80,128,0.001,0.001,2
Baseline B,56,"[48,24]",4012,4012,0,50,128,0.002,0.0001,3
Structured-R2,145,"[128,64,32]",29156,4012,25144,80,128,0.001,0.001,3
Baseline B,56,"[48,24]",4012,4012,0,50,128,0.002,0.0001,4
Structured-R2,145,"[128,64,32]",29156,4012,25144,80,128,0.001,0.001,4
Baseline B,56,"[48,24]",4012,4012,0,50,128,0.002,0.0001,5
Structured-R2,145,"[128,64,32]",29156,4012,25144,80,128,0.001,0.001,5
Baseline B,56,"[48,24]",4012,4012,0,50,128,0.002,0.0001,6
Structured-R2,145,"[128,64,32]",29156,4012,25144,80,128,0.001,0.001,6
Baseline B,56,"[48,24]",4012,4012,0,50,128,0.002,0.0001,7
Structured-R2,145,"[128,64,32]",29156,4012,25144,80,128,0.001,0.001,7
Baseline B,56,"[48,24]",4012,4012,0,50,128,0.002,0.0001,8
Structured-R2,145,"[128,64,32]",29156,4012,25144,80,128,0.001,0.001,8
Baseline B,56,"[48,24]",4012,4012,0,50,128,0.002,0.0001,9
Structured-R2,145,"[128,64,32]",29156,4012,25144,80,128,0.001,0.001,9
