replicate_id,training_data_seed,model_training_seed,baseline_initialization_seed,structured_initialization_seed,validation_data_seed,offline_test_data_seed,rollout_tape_seed,bootstrap_seed
0,8101,9103,9103,9103,31013,31019,31033,171031
1,8111,9127,9127,9127,31013,31019,31033,171031
2,8117,9133,9133,9133,31013,31019,31033,171031
3,8123,9151,9151,9151,31013,31019,31033,171031
4,8147,9173,9173,9173,31013,31019,31033,171031
5,8161,9181,9181,9181,31013,31019,31033,171031
6,8171,9199,9199,9199,31013,31019,31033,171031
7,8191,9209,9209,9209,31013,31019,31033,171031
8,8209,9221,9221,9221,31013,31019,31033,171031
9,8219,9239,9239,9239,31013,31019,31033,171031
