endpoint,metric,panel,orientation,unit,display_scale,baseline_estimate,structured_estimate,raw_difference_structured_minus_baseline,raw_ci_low,raw_ci_high,benefit_difference,benefit_ci_low,benefit_ci_high,favorable_replicates,tied_replicates,adverse_replicates,total_training_replicates,paired_exact_sign_flip_p,eligible_replicate_episode_pairs,bootstrap_repetitions,bootstrap_seed,ci_method,ece_definition,holm_adjusted_p,direction_ci_consistency_met,support_rule_met,validator_requires_support
macro_f1,Macro-F1,action,higher_is_better,raw difference,1,0.78031168989801292,0.8043967299010033,0.024085040002990388,0.013744456347346062,0.035205028366785136,0.024085040002990388,0.013744456347346062,0.035205028366785136,10,0,0,10,0.001953125,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",0.01953125,True,True,False
nll,NLL,action,lower_is_better,raw difference,1,0.4016157521515667,0.36331586268855287,-0.038299889463013825,-0.051402449973167688,-0.025566150069278423,0.038299889463013825,0.025566150069278419,0.051402449973167681,10,0,0,10,0.001953125,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",0.01953125,True,True,False
brier,Brier,action,lower_is_better,raw difference,1,0.24491516371749569,0.21361870299059479,-0.031296460726900899,-0.03998906769057485,-0.022915475592034357,0.031296460726900899,0.022915475592034357,0.03998906769057485,10,0,0,10,0.001953125,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",0.01953125,True,True,False
ece,ECE,action,lower_is_better,raw difference,1,0.0033947710907464229,0.0085582253486041777,0.0051634542578577547,-0.0033580780921515408,0.0085011097748655343,-0.0051634542578577547,-0.0085011097748655343,0.0033580780921515403,4,0,6,10,0.349609375,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",1,False,False,False
collision,Collision,event,lower_is_better,percentage points,100,0.016111111111111111,0.013888888888888888,-0.0022222222222222227,-0.006666666666666668,0,0.0022222222222222227,-0,0.006666666666666668,5,5,0,10,0.0625,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",0.4375,False,False,False
near_miss,Near miss,event,lower_is_better,percentage points,100,0.22055555555555556,0.2225,0.0019444444444444431,-0.0083333333333333315,0.012499999999999983,-0.0019444444444444431,-0.012499999999999983,0.0083333333333333315,3,2,5,10,0.46875,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",1,False,False,False
critical_event,Critical event,event,lower_is_better,percentage points,100,0.23666666666666666,0.2363888888888889,-0.00027777777777776569,-0.010833333333333361,0.010277777777777775,0.00027777777777776569,-0.010277777777777775,0.010833333333333361,4,3,3,10,1,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",1,False,False,False
route_completion,Route completion,event,higher_is_better,percentage points,100,0.92527777777777775,0.92555555555555558,0.0002777777777778212,-0.0083333333333334147,0.0097222222222221877,0.0002777777777778212,-0.0083333333333334147,0.0097222222222221877,5,0,5,10,1,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",1,False,False,False
ttc_p5,TTC-P5,ttc,higher_is_better,seconds,1,9.3747809256876469,9.3210076873730152,-0.053773238314631655,-0.15189212647923098,0.040083772064430298,-0.053773238314631655,-0.15189212647923098,0.040083772064430298,4,0,6,10,0.140625,3542,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",0.703125,False,False,False
jerk_p95,Jerk-P95,jerk,lower_is_better,m/s^3,1,4.6617143326742374,4.5969161972423676,-0.064798135431869852,-0.14467471728811845,0.015621268750201634,0.064798135431869852,-0.015621268750201664,0.14467471728811845,7,0,3,10,0.09375,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",0.5625,False,False,False
