display_contrast,endpoint,metric,panel,orientation,unit,display_scale,baseline_estimate,structured_estimate,raw_difference_structured_minus_baseline,raw_ci_low,raw_ci_high,benefit_difference,benefit_ci_low,benefit_ci_high,favorable_replicates,tied_replicates,adverse_replicates,total_training_replicates,paired_exact_sign_flip_p,eligible_replicate_episode_pairs,bootstrap_repetitions,bootstrap_seed,ci_method,ece_definition,holm_adjusted_p,direction_ci_consistency_met,support_rule_met,validator_requires_support
Structured fusion - Baseline B,macro_f1,Macro-F1,action,higher_is_better,raw difference,1,0.78031168989801292,0.8043967299010033,0.024085040002990301,0.013744456347346,0.035205028366785102,0.024085040002990301,0.013744456347346,0.035205028366785102,10,0,0,10,0.001953125,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",0.01953125,True,True,False
Structured fusion - Baseline B,nll,NLL,action,lower_is_better,raw difference,1,0.4016157521515667,0.36331586268855282,-0.038299889463013798,-0.051402449973167598,-0.025566150069278398,0.038299889463013798,0.025566150069278398,0.051402449973167598,10,0,0,10,0.001953125,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",0.01953125,True,True,False
Structured fusion - Baseline B,brier,Brier,action,lower_is_better,raw difference,1,0.24491516371749561,0.21361870299059471,-0.031296460726900802,-0.039989067690574802,-0.022915475592034301,0.031296460726900802,0.022915475592034301,0.039989067690574802,10,0,0,10,0.001953125,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",0.01953125,True,True,False
Structured fusion - Baseline B,ece,ECE,action,lower_is_better,raw difference,1,0.0033947710907464,0.0085582253486040996,0.0051634542578577001,-0.0033580780921515,0.0085011097748654996,-0.0051634542578577001,-0.0085011097748654996,0.0033580780921515,4,0,6,10,0.349609375,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",1,False,False,False
Structured fusion - Baseline B,collision,Collision,event,lower_is_better,percentage points,100,0.0161111111111111,0.0138888888888888,-0.0022222222222222001,-0.0066666666666666003,0,0.0022222222222222001,-0,0.0066666666666666003,5,5,0,10,0.0625,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",0.4375,False,False,False
Structured fusion - Baseline B,near_miss,Near miss,event,lower_is_better,percentage points,100,0.2205555555555555,0.2225,0.0019444444444443999,-0.0083333333333333003,0.0124999999999999,-0.0019444444444443999,-0.0124999999999999,0.0083333333333333003,3,2,5,10,0.46875,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",1,False,False,False
Structured fusion - Baseline B,critical_event,Critical event,event,lower_is_better,percentage points,100,0.23666666666666661,0.2363888888888889,-0.00027777777777769999,-0.010833333333333301,0.0102777777777777,0.00027777777777769999,-0.0102777777777777,0.010833333333333301,4,3,3,10,1,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",1,False,False,False
Structured fusion - Baseline B,route_completion,Route completion,event,higher_is_better,percentage points,100,0.92527777777777764,0.92555555555555558,0.0002777777777778,-0.0083333333333333991,0.0097222222222220992,0.0002777777777778,-0.0083333333333333991,0.0097222222222220992,5,0,5,10,1,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",1,False,False,False
Structured fusion - Baseline B,ttc_p5,TTC-P5,ttc,higher_is_better,seconds,1,9.3747809256876486,9.3210076873730152,-0.0537732383146316,-0.15189212647923089,0.040083772064430201,-0.0537732383146316,-0.15189212647923089,0.040083772064430201,4,0,6,10,0.140625,3542,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",0.703125,False,False,False
Structured fusion - Baseline B,jerk_p95,Jerk-P95,jerk,lower_is_better,m/s^3,1,4.6617143326742365,4.5969161972423684,-0.064798135431869797,-0.1446747172881184,0.015621268750201599,0.064798135431869797,-0.015621268750201599,0.1446747172881184,7,0,3,10,0.09375,3600,10000,171031,95% paired crossed percentile bootstrap over 10 training replicates and 360 fixed test episodes; 10000 shared draws; NumPy linear quantiles,"15 equal-width confidence bins on [0,1], right endpoint included",0.5625,False,False,False
